region,district,kindergarten_name,outside_branches,group_count,land_area_built,external_sweeping_area,internal_cleaning_area,garden_area,leased_garden_area,design_capacity,vacant_land_area,educational_building_count,floor_count,wall_material,wall_condition,roof_material,roof_condition,window_condition,floor_condition,door_condition,sports_equipment_available,assembly_hall_condition,kitchen_condition,kitchen_water_supply,electricity_condition,has_generator,has_solar_panels,internal_electrical_condition,lighting_condition,heating_source,heating_fuel_source,boiler_room_condition,internal_heating_condition,water_availability,drinking_water_source,has_fence,internet_type,internet_usage,fire_safety_available,has_cctv,has_public_transport_nearby,accessible_for_disabled,repaired_or_reconstructed,total_students,earthquake_safety,restroom_location,restroom_water_condition,restroom_connected_to_sewage,staff_total,restroom_doors_partitions,restroom_handwash_water_soap,restroom_sewage_issues,restroom_water_issues,restroom_lighting_safe,classrooms_warm_in_winter,indoor_pipeline_installed,children_walk_more_than_3km,meets_modern_infrastructure,satisfied_with_condition,age_score,total_population,utilization_ratio,population_score,infrastructure_score,resources_score,latitude,longitude,need_category,predicted_need_Category
Samarkand,Narpay district,kindergarten_160,0.0,0.4,1.0,0.3,0.3,0.3,0.0,100,0.3,0.6,0.3,0.8,1.0,0.8,0.5,0.5,0.2,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,125,1.0,0.4,0.0,0.0,1,0.5,1.0,0.2,0.2,1.0,1.0,0.0,0.7,0.5,0.3,0.4,126,1.26,0.0,0.43,0.56,39.9223,65.925,RED,RED
Samarkand,Payarik district,kindergarten_161,0.0,0.4,0.3,0.6,0.8,0.3,0.0,120,0.3,0.6,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.7,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,120,1.0,0.8,0.5,0.5,2,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,122,1.0166666666666666,0.25,0.68,0.74,39.98917,66.84583,YELLOW,YELLOW
Samarkand,Oqdaryo district,kindergarten_161,0.6,0.2,0.3,0.3,0.6,0.3,0.3,70,0.3,0.3,0.3,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.8,0.7,1.0,1.0,0.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,44,1.0,0.4,0.0,0.0,2,1.0,1.0,1.0,0.2,0.0,1.0,0.0,0.7,0.0,1.0,0.2,46,0.6571428571428571,0.16,0.53,0.48,39.9092,67.0916,RED,RED
Samarkand,Qushrabat district,kindergarten_162,0.0,0.2,1.0,0.6,0.6,0.0,0.0,100,0.3,0.3,0.6,0.8,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.7,0.0,0.0,1.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,100,0.5,0.8,0.3,1.0,16,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7,0.0,0.3,1.0,116,1.16,0.01,0.5,0.5,40.3333,66.5,RED,RED
Samarkand,Paxtachi district,kindergarten_165,0.0,0.4,1.0,0.3,0.3,0.6,0.0,120,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.2,0.5,1.0,1.0,0.0,0.0,0.5,0.5,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,204,0.5,0.8,0.5,0.5,4,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3,1.0,208,1.7333333333333334,0.0,0.5,0.66,39.9167,66.0,RED,RED
Samarkand,Samarkand city,kindergarten_165,0.0,0.2,1.0,1.0,1.0,0.6,0.0,90,0.3,0.6,0.3,0.4,1.0,0.8,1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.8,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.5,0.0,0.8,0.0,0.0,120,0.5,0.4,0.0,0.0,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3,0.2,122,1.3555555555555556,0.0,0.51,0.55,39.65417,66.95972,RED,RED
Samarkand,Urgut district,kindergarten_165,0.0,0.4,0.3,0.3,0.3,0.3,0.0,100,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,145,1.0,1.0,1.0,1.0,2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,147,1.47,0.0,0.67,0.89,39.4022,67.2431,RED,RED
Samarkand,Kattakurgan city,kindergarten_165,0.0,0.4,0.5,0.3,0.3,0.3,0.0,120,1.0,0.6,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,150,1.0,0.8,1.0,1.0,5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,155,1.2916666666666667,0.0,0.72,0.84,39.89889,66.25611,RED,RED
Samarkand,Ishtihan district,kindergarten_167,0.0,0.4,0.5,0.3,0.3,0.0,0.0,140,0.3,0.3,0.6,0.8,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.5,1.0,0.7,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,0.4,1.0,0.5,0.6,177,1.0,0.4,0.0,0.0,7,1.0,0.0,0.2,0.2,0.0,1.0,1.0,0.7,0.0,0.3,1.0,184,1.3142857142857143,0.0,0.45,0.54,39.8371,66.4843,RED,RED
Samarkand,Jomboy district,kindergarten_167,0.0,1.0,0.5,1.0,1.0,1.0,0.0,240,0.3,1.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,265,1.0,0.8,1.0,0.5,20,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,285,1.1875,0.0,0.83,0.89,39.69889,67.09333,RED,RED
