id,region,district,school_name,usage %,population_score,sports_equipment,drinking_water,generator,solar_panels,heating_system_x,fuel_source,water,drinking_water_supply,internet_connection,internet_usage,fire_safety,video_surveillance,public_transport,musculoskeletal_disorders_facilities,restroom_location,restroom_stalls,handwashing,restroom_safe,restroom_connection,classrooms_warm,water_pipeline,resources_score,wall_material,wall_condition,roof_material,roof_condition,windows_condition,floor_condition,door_condition,library_condition,gym_condition,stadium_condition,hall_condition,kitchen_condition,electrical_system,lighting_system,boiler_condition,heating_system_y,restroom_water,sewage_connection,sewage_issues,water_supply_issues,restroom_lighting,restroom_pathway,dining_condition,boundary_wall,repairs_done,earthquake_safety,distance_to_school,modern_standards,satisfaction,outdoor_restroom_material,outdoor_restroom_condition,indoor_restroom_condition,infrastructure_score,need_category,latitude,longitude,predicted_need_Category
11,Samarkand region,Bulungur district,19-сонли умумий ўрта таълим мактаби,71.81,1.0,0.5,0.0,1,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.6164383561643835,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.753125,YELLOW,39.7573054,67.27287,YELLOW
13,Samarkand region,Bulungur district,20-sonli umumiy o'rta ta'lim maktabi,66.0,0.93,1.0,0.0,1,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.6506849315068493,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.4,0.5,0.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.73125,YELLOW,39.7573054,67.27287,YELLOW
14,Samarkand region,Bulungur district,21-sonli umumiy o'rta ta'lim maktabi,126.39,0.02,1.0,0.0,0,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,0.0,1.0,1.0,0.4,1.0,1.0,1.0,1,1,0.0,0.6164383561643835,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.721875,RED,39.7573054,67.27287,RED
15,Samarkand region,Bulungur district,22--sonli ixtisoslashtirilgan davlat umumta’lim maktabi,62.82,0.86,1.0,0.0,1,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0,1,1.0,0.8356164383561643,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.89375,YELLOW,39.7573054,67.27287,YELLOW
16,Samarkand region,Bulungur district,23-сонли умумий ўрта таълим мактаби,84.83,0.84,0.5,1.0,1,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4,0.5,1.0,0.0,0,1,0.0,0.6301369863013697,0.8,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.8,0.5,0.6,1.0,1.0,1.0,1.0,0.8,1.0,0.3,0.75625,YELLOW,39.7573054,67.27287,YELLOW
17,Samarkand region,Bulungur district,24-sonli umumiy o'rta ta'lim maktabi,64.06,0.89,0.5,0.0,0,1.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,0.0,0.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.4794520547945206,0.8,1.0,0.8,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.58125,RED,39.7573054,67.27287,RED
18,Samarkand region,Bulungur district,25-sonli umumiy o'rta ta'lim maktabi,94.0,0.56,1.0,0.0,0,0.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.4931506849315068,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,RED,39.7573054,67.27287,RED
19,Samarkand region,Bulungur district,26-sonli umumiy o'rta ta'lim maktabi,86.19,0.8,0.5,0.0,0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.5616438356164383,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7,0.7,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.65,YELLOW,39.7573054,67.27287,YELLOW
20,Samarkand region,Bulungur district,27-sonli umumiy o'rta ta'lim maktabi,62.5,0.85,0.5,0.0,1,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,0.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.547945205479452,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.7,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,0.8,0.5,0.0,0.690625,RED,39.7573054,67.27287,RED
21,Samarkand region,Bulungur district,28-сонли умумий ўрта таълим мактаби,71.88,1.0,1.0,0.0,1,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3,0.7,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.6301369863013697,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.728125,YELLOW,39.7573054,67.27287,YELLOW
22,Samarkand region,Bulungur district,29-sonli umumiy o'rta ta'lim maktabi,52.56,0.56,1.0,0.0,0,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.3,0.6027397260273972,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.884375,RED,39.7573054,67.27287,RED
23,Samarkand region,Bulungur district,3-sonli umumiy o'rta ta'lim maktabi,64.86,0.91,1.0,1.0,1,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.7534246575342467,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.8,0.5,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.878125,GREEN,39.7573054,67.27287,GREEN
24,Samarkand region,Bulungur district,30-sonli umumiy o'rta ta'lim maktabi,81.43,0.92,1.0,0.0,0,1.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.684931506849315,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.753125,GREEN,39.7573054,67.27287,GREEN
25,Samarkand region,Bulungur district,31-sonli umumiy o'rta ta'lim maktabi,109.5,0.17,1.0,0.0,0,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0,1,0.3,0.636986301369863,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,1.0,0.8,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.8,RED,39.7573054,67.27287,RED
26,Samarkand region,Bulungur district,32-сонли умумий ўрта таълим мактаби,51.25,0.52,0.5,0.0,1,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.6164383561643835,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.803125,RED,39.7573054,67.27287,RED
27,Samarkand region,Bulungur district,33-sonli umumiy o'rta ta'lim maktabi,88.0,0.75,1.0,0.0,0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.6095890410958903,0.8,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,0.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.721875,YELLOW,39.7573054,67.27287,YELLOW
29,Samarkand region,Bulungur district,35-sonli umumiy o'rta ta'lim maktabi,66.67,0.94,1.0,0.0,0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.6301369863013697,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.5,0.8,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.721875,YELLOW,39.7573054,67.27287,YELLOW
30,Samarkand region,Bulungur district,36-сонли умумий ўрта таълим мактаби,88.08,0.75,1.0,1.0,1,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.8356164383561643,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,1.0,0.5,0.6,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.8187500000000001,YELLOW,39.7573054,67.27287,YELLOW
31,Samarkand region,Bulungur district,37-sonli umumiy o'rta ta'lim maktabi,79.5,0.95,1.0,0.0,1,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.7671232876712327,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.765625,GREEN,39.7573054,67.27287,GREEN
32,Samarkand region,Bulungur district,38-sonli umumiy o'rta ta'lim maktabi,83.33,0.87,0.5,0.0,0,0.3,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.5821917808219178,0.4,0.3,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,0.0,1.0,0.0,1.0,0.8,0.0,1.0,1.0,1.0,0.8,1.0,1.0,0.5625,RED,39.7573054,67.27287,RED
33,Samarkand region,Bulungur district,39-sonli umumiy o'rta ta'lim maktabi,50.0,0.48,0.5,0.0,1,0.3,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.6164383561643835,0.8,1.0,0.8,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.7000000000000001,RED,39.7573054,67.27287,RED
34,Samarkand region,Bulungur district,4-sonli umumiy o'rta ta'lim maktabi,86.9,0.78,1.0,0.0,1,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.5,1.0,0,1,0.3,0.6712328767123288,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.4,1.0,0.6,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.80625,YELLOW,39.7573054,67.27287,YELLOW
35,Samarkand region,Bulungur district,40-sonli umumiy o'rta ta'lim maktabi,70.61,0.99,0.5,0.0,1,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.547945205479452,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.7375,RED,39.7573054,67.27287,RED
36,Samarkand region,Bulungur district,41-sonli umumiy o'rta ta'lim maktabi,89.0,0.72,0.5,0.0,1,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.732876712328767,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,1.0,0.8,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.8,YELLOW,39.7573054,67.27287,YELLOW
37,Samarkand region,Bulungur district,42-sonli umumiy o'rta ta'lim maktabi,81.18,0.92,1.0,1.0,1,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.8013698630136985,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.8,0.5,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.83125,GREEN,39.7573054,67.27287,GREEN
38,Samarkand region,Bulungur district,43-сонли умумий ўрта таълим мактаби,50.6,0.5,1.0,0.0,1,1.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.719178082191781,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.7625,RED,39.7573054,67.27287,RED
