region,district,hospital_name,outside_branches,land_area_built,vacant_land_area,building_count,floors,wall_material,wall_condition,roof_material,roof_condition,window_condition,floor_condition,door_condition,toilet_water_supply,electricity_supply,has_generator,has_solar_panels,internal_electric_condition,lighting_condition,heating_source,heating_condition,has_water,drinking_water_source,has_fence,internet_type,fire_safety,has_cctv,has_transport_nearby,recent_repairs,earthquake_safe,restroom_location,restroom_water_condition,restroom_has_sewage,restroom_doors,restroom_handwash_available,restroom_sewage_issues,restroom_water_issues,restroom_light_safe,is_warm_in_winter,has_water_pipeline,satisfaction,total_staff,medical_staff,bed_capacity,age_score,population_score,infrastructure_score,resources_score,latitude,longitude,need_category,predicted_need_Category
Samarkand,Urgut district,Hospital_075,0.0,1.0,0.7,0.6,0.3,0.8,0.0,0.8,0.1,0.5,0.1,0.5,0.0,0.5,0.0,0.0,0.5,0.6,1.0,1.0,0.0,0.4,0.5,1.0,0.0,0.0,0.0,0.7,0.5,0.4,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.04702495208759029,0.0,0.0,1.0,0.02,0.51,0.38,39.4022,67.2431,RED,RED
Samarkand,Paxtachi district,Hospital_076,0.0,1.0,0.3,0.3,0.6,0.8,0.4,0.8,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.6,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,1.0,0.4,0.0,0.6,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.008686353028182742,0.0,0.0,0.8,0.0,0.57,0.47,39.9167,66.0,RED,RED
Samarkand,Pastargom district,Hospital_077,0.0,1.0,0.3,0.3,0.6,0.8,0.4,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.7,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.5,0.0002528495182451483,3.697014810051776e-05,3.697014810051776e-05,1.0,0.0,0.73,0.55,39.65,67.2,RED,RED
Samarkand,Taylak district,Hospital_078,0.0,0.5,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,0.1,1.0,1.0,0.5,0.0,0.7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.6,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0002461584558684511,3.4491668580432444e-05,3.4491668580432444e-05,0.8,0.0,0.69,0.72,39.6575,67.2353,RED,RED
Samarkand,Samarkand district,Hospital_079,0.0,0.5,0.3,0.6,0.6,1.0,0.4,0.8,0.5,0.5,0.1,0.5,1.0,1.0,0.0,0.0,0.5,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.05046894148791596,0.0,0.0,1.0,0.02,0.52,0.75,39.65417,66.95972,RED,RED
Samarkand,Ishtihan district,Hospital_080,0.0,0.5,0.3,0.6,0.3,0.8,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.05046894148791596,0.0,0.0,1.0,0.02,0.63,0.81,39.8371,66.4843,RED,RED
Samarkand,Kattakurgan city,Hospital_081,0.0,1.0,0.3,0.3,0.3,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00040073082872294527,0.0,0.0,1.0,0.0,0.71,0.76,39.89889,66.25611,RED,RED
Samarkand,Bulungur district,Hospital_082,0.0,0.5,0.3,0.3,0.3,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7,0.5,1.0,1.0,0.0,0.0,0.7,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037726746118558384,0.009490316667322337,0.009490316667322337,1.0,0.02,0.69,0.78,39.7573054,67.27287,YELLOW,YELLOW
Samarkand,Jomboy district,Hospital_083,0.0,0.3,0.3,0.3,0.3,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.04111122347493331,0.01672961485186863,0.01672961485186863,0.8,0.02,0.7,0.89,39.69889,67.09333,YELLOW,YELLOW
Samarkand,Narpay district,Hospital_084,0.0,0.5,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7,1.0,1.0,1.0,0.6,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.04282375647531781,0.009754070437221716,0.009754070437221716,0.8,0.02,0.73,0.81,39.9223,65.925,YELLOW,YELLOW
